Year,Score
2008,15.525
2008,15.525
2008,15.5
2008,15.05
2008,15
2008,14.775
2008,14.775
2008,14.6
2008,14.575
2008,14.5
2008,14.5
2008,14.425
2008,14.4
2008,14.375
2008,14.35
2008,14.1
2008,13.975
2008,13.95
2008,13.95
2008,13.95
2008,13.925
2008,13.675
2008,13
2008,13
2008,12.9
2012,15.325
2012,15.066
2012,14.9
2012,14.433
2012,14.433
2012,14.233
2012,14.233
2012,14.2
2012,14
2012,14
2012,13.933
2012,13.9
2012,13.9
2012,13.9
2012,13.833
2012,13.8
2012,13.8
2012,13.766
2012,13.575
2012,13.366
2012,13.3
2012,12.966
2012,12.9
2012,12.666
2016,15.933
2016,15.433
2016,14.9
2016,14.733
2016,14.6
2016,14.533
2016,14.366
2016,14.3
2016,14.233
2016,14.133
2016,14.125
2016,14.075
2016,14.033
2016,14
2016,13.933
2016,13.9
2016,13.833
2016,13.766
2016,13.733
2016,13.258
2016,13.233
2016,10.966
2020,14
2020,13.966
2020,13.966
2020,13.8
2020,13.7
2020,13.7
2020,13.666
2020,13.566
2020,13.433
2020,13.4
2020,13.333
2020,13.333
2020,13.166
2020,13.133
2020,13.033
2020,13
2020,12.966
2020,12.966
2020,12.833
2020,12.666
2020,12.633
2020,12.6
2020,12.433
2020,12.066
